Building ID,Max Height,Min Height,Avg Height,Stddev Height,Num Points,Avg Height Diff,Difference,Frequency
v0.1-NLD.9.4_1-106203,3.785000086,2.803999901,2.888999701,0.204126477,21,-0.00848031,,
v0.1-NLD.9.4_1-107492,3.798000097,2.822000027,3.086428404,0.349056661,14,0.257518291,,
v0.1-NLD.9.4_1-14793,19.69499969,15.05900002,17.1942234,1.042968988,591,-0.140476227,,
v0.1-NLD.9.4_1-19728,19.56100082,12.76099968,17.01674461,1.230585456,306,-0.352155685,,
v0.1-NLD.9.4_1-90210,15.19400024,0.252999991,7.410321712,5.980688572,28,4.892271996,,
v0.1-NLD.9.4_1-149041,17.39800072,16.28199959,16.40075302,0.129811689,389,0.497552872,,
v0.1-NLD.9.4_1-22829,17.31999969,13.57499981,15.3509388,1.276901364,398,-0.494360924,,
v0.1-NLD.9.4_1-101354,17.40800095,13.52700043,15.26276302,1.302940011,362,-0.786837578,,
v0.1-NLD.9.4_1-26859,15.4119997,3.26699996,8.517745018,4.140023232,118,5.62618494,,
v0.1-NLD.9.4_1-118950,17.07900047,16.39999962,16.52349281,0.095060773,466,0.397993088,,
v0.1-NLD.9.4_1-165430,17.38199997,16.40699959,16.57385445,0.105415478,436,0.402355194,,
v0.1-NLD.9.4_1-105328,15.31299973,2.65899992,9.07483387,4.294053555,36,6.641433716,,
v0.1-NLD.9.4_1-116963,14.69099998,2.756000042,7.2799716,4.376228333,35,4.76869154,,
