Building ID,Max Height,Min Height,Avg Height,Stddev Height,Num Points,Avg Height Diff
129331,13.854000091552734,-0.328000009059906,3.1402130126953125,3.4839823246002197,310,-3.8597869873046875
129562,14.883000373840332,-0.6480000019073486,2.4718592166900635,2.255782127380371,1072,-8.528141021728516
129723,15.081000328063965,-0.6060000061988831,3.094503164291382,2.7832231521606445,485,-5.905496597290039
129761,14.781000137329102,-0.12800000607967377,3.6596803665161133,3.4126875400543213,122,-7.340319633483887
129790,9.666999816894531,2.4700000286102295,5.957515239715576,2.115288734436035,101,-7.042484760284424
129891,3.5409998893737793,-0.32100000977516174,2.131845712661743,0.6401288509368896,525,-6.868154525756836
129913,8.041000366210938,-0.5009999871253967,2.2810137271881104,1.9424700736999512,299,-10.718986511230469
127086,4.553999900817871,2.828000068664551,2.940204620361328,0.24804677069187164,44,-5.059795379638672
127174,10.847000122070312,2.8399999141693115,7.812535285949707,3.3377535343170166,43,-5.187464714050293
127199,12.12399959564209,0.6759999990463257,6.230579853057861,3.624321222305298,50,-8.769420623779297
127215,6.923999786376953,0.671999990940094,2.604238986968994,0.955788791179657,46,-13.395761489868164
127270,9.527000427246094,3.619999885559082,4.31214714050293,1.3622958660125732,61,-5.68785285949707
127377,8.392000198364258,2.9509999752044678,4.050000190734863,0.928045928478241,65,-11.949999809265137
127406,7.209000110626221,3.0209999084472656,4.439846038818359,1.2920373678207397,13,-11.56015396118164
127550,7.877999782562256,0.5559999942779541,3.577744722366333,1.4484899044036865,493,-11.422255516052246
128121,21.031999588012695,0.24199999868869781,10.10537052154541,6.628104209899902,27408,-6.89462947845459
128467,20.26099967956543,-0.04500000178813934,11.562748908996582,6.305802345275879,25076,-6.437251091003418
127264,13.197999954223633,3.1619999408721924,10.420769691467285,3.909493923187256,13,-4.579230308532715
127773,19.70599937438965,0.5329999923706055,12.240059852600098,3.7541041374206543,14909,-3.7599401473999023
127470,13.48799991607666,0.6209999918937683,9.193058013916016,2.3882789611816406,2907,-3.8069419860839844
127461,6.7789998054504395,0.38600000739097595,3.044856548309326,1.0304131507873535,515,-6.955143451690674
127526,11.02400016784668,2.8949999809265137,4.787886619567871,2.1604866981506348,309,-10.212113380432129
127559,7.432000160217285,0.44699999690055847,5.926765441894531,2.051421880722046,34,-2.0732345581054688
128290,21.139999389648438,0.32100000977516174,10.41521167755127,6.2430901527404785,55642,-6.5847883224487305
127870,10.47700023651123,0.46700000762939453,5.585643768310547,2.266470193862915,1126,-4.414356231689453
128116,4.960999965667725,0.4259999990463257,3.6775169372558594,1.0023443698883057,149,-1.3224830627441406
128746,26.339000701904297,-0.05000000074505806,12.834412574768066,6.994818210601807,31133,-7.165587425231934
128545,12.302000045776367,10.02400016784668,11.20875072479248,0.6055151224136353,24,-3.7912492752075195
128602,2.242000102996826,0.43799999356269836,0.866040050983429,0.5424603819847107,25,-15.133959770202637
128614,11.062999725341797,8.413000106811523,10.037532806396484,0.6053397059440613,45,-5.962467193603516
128682,4.21999979019165,0.05400000140070915,2.097444534301758,1.3329753875732422,27,-8.902555465698242
129175,20.138999938964844,-0.3059999942779541,14.202949523925781,4.225409507751465,21761,-5.797050476074219
128807,14.270000457763672,0.28999999165534973,5.122000217437744,3.7424142360687256,69,-3.877999782562256
129438,33.57400131225586,-0.21400000154972076,11.331233024597168,6.48628044128418,36713,-5.668766975402832
129682,24.270000457763672,-0.4099999964237213,7.971076965332031,5.425996780395508,24456,-5.028923034667969
130382,50.16299819946289,-0.5239999890327454,12.253480911254883,5.974343299865723,59113,-8.746519088745117
